4,2,3
5,8,8
12,17,18
27,20,29
29,34,31
37,50,50
40,61,54
55,71,82
78,102,100
107,126,135
118,136,157
145,179,192
191,209,222
196,239,276
252,273,295
311,298,327
357,346,362
392,366,395
438,397,431
457,440,511
485,495,573
489,573,644
534,623,704
620,643,799
622,675,819
707,685,873
762,714,947
842,824,955
861,889,963
946,920,1057
1050,998,1132
1090,1042,1229
1112,1173,1350
1182,1195,1460
1312,1197,1482
1386,1277,1566
1394,1423,1637
1540,1450,1756
1665,1595,1810
1755,1749,1851
1773,1826,1993
1867,1864,2045
1926,2017,2091
1987,2109,2152
2164,2255,2328
2274,2435,2474
2389,2529,2484
2433,2658,2622
2627,2755,2656
2696,2886,2726
2812,3076,2801
2875,3162,2926
2891,3268,2996
3067,3277,3138
3097,3423,3277
3268,3557,3379
3353,3610,3522
3565,3711,3712
3596,3841,3760
3789,4072,3966
3960,4257,4002
4093,4328,4079
4288,4329,4102
4483,4342,4283
4628,4594,4371
4714,4637,4409
4865,4850,4545
5072,4968,4769
5275,5120,4942
5378,5397,5148
5427,5456,5222
5486,5469,5236
5539,5723,5408
5566,5853,5456
5751,5947,5491
5834,6038,5716
6107,6292,5834
6302,6423,6104
6336,6697,6179
6423,6859,6458
6466,7090,6668
6499,7272,6676
6710,7376,6903
6967,7561,7162
7104,7591,7396
7267,7787,7699
7549,7833,7792
7710,8136,7986
7913,8228,8156
8207,8463,8267
8523,8649,8419
8532,8904,8694
8676,9211,8806
8693,9408,8842
8813,9409,9110
9136,9635,9386
9264,9729,9580
9361,10097,9930
9640,10432,10123
9869,10540,10252
10080,10584,10524
10305,10903,10748
10450,11290,11114
10761,11423,11298
11160,11562,11576
11478,11769,11666
11713,12047,11695
11939,12125,11743
12344,12297,12132
12578,12470,12455
12671,12817,12716
12852,13113,12875
13276,13446,13138
13621,13893,13200
13938,14058,13578
14272,14063,13749
14566,14077,14088
14728,14368,14486
14919,14473,14577
15185,14809,15007
15254,15238,15127
15290,15645,15594
15661,15880,15730
15671,15921,15925
15882,16311,16060
15966,16802,16545
16162,16996,16555
16492,17214,16795
16569,17537,17017
16968,17675,17033
17252,17693,17266
17355,17830,17387
17594,17935,17792
17697,18320,17874
17780,18380,18330
17988,18504,18503
18472,18893,18796
18735,19345,18939
19290,19361,19129
19731,19724,19401
20076,20083,19574
20423,20344,19924
20492,20440,20258
20946,20588,20453
21487,21014,20957
21652,21019,21203
21829,21552,21505
22305,22036,22044
22362,22048,22362
22544,22055,22778
22704,22492,23092
22884,22829,23641
23265,23434,24135
23565,23669,24619
23663,24158,25002
23725,24424,25246
23947,24496,25354
24242,25118,25674
24495,25606,25697
24867,26215,25876
25472,26330,26376
25571,26412,26792
26061,26751,27272
26592,27013,27821
26871,27250,28204
27455,27392,28384
28013,27979,28917
28218,28152,29450
28788,28512,29801
28812,28747,29908
28914,28837,30078
28954,28923,30720
29522,29361,30832
29569,29434,30909
30098,29650,31026
30255,30337,31671
30819,30908,32332
31366,31090,32821
31390,31544,33406
31583,31603,34020
31658,32326,34229
32140,32669,34510
32740,33383,34573
33021,33842,34748
33064,34449,35006
33768,35010,35323
33926,35373,35835
34159,36040,36552
34693,36295,36552
34949,36915,36659
35408,37029,37334
35876,37402,37742
36437,37656,37952
36697,38038,38490
37179,38668,38584
37389,39417,38648
37564,39588,38890
37639,39843,39264
38242,39968,39820
38789,40718,40263
